stage	name	categories	calls	total_us	avg_us	max_us
all	void musa::dnn::ScanPartSumShflKernel<int, long, long, musa::dnn::ScanOp<musa::dnn::DeviceTensor<unsigned int, musa::dnn::FastDivmodU32>, int, long, long, (musa::dnn::ScanMode)0, (musa::dnn::ScanOpType)0>, 1024, musa::dnn::DeviceTensor<unsigned int, musa::dnn::FastDivmodU32>, 1>(void*, void*, musa::dnn::DeviceTensor<unsigned int, musa::dnn::FastDivmodU32>, long, int, long)	kernel	3	19.081	6.360	6.960
all	void musa::dnn::unary::kernel_unary<long, musa::dnn::unary::CastOp, long, int, long, 128>(int*, long const*, unsigned long, long, long, void const*, void const*, musa::dnn::ParamType, musa::dnn::ParamType, float, float, float)	kernel	4	18.962	4.740	5.920
all	get_num_kv_splits_triton	kernel	1	16.000	16.000	16.000
all	void musa::dnn::unary::kernel_unary<__half, musa::dnn::unary::CastOp, float, float, __half, 128>(float*, __half const*, unsigned long, float, float, void const*, void const*, musa::dnn::ParamType, musa::dnn::ParamType, float, float, float)	kernel	2	10.760	5.380	5.480
all	void musa::dnn::unary::kernel_unary<long, musa::dnn::unary::SubOp, long, long, long, 128>(long*, long const*, unsigned long, long, long, void const*, void const*, musa::dnn::ParamType, musa::dnn::ParamType, float, float, float)	kernel	2	9.800	4.900	5.280
all	musaStreamSynchronize	privateuse1_runtime	5	8.292	1.658	2.665
all	void at::native::(anonymous namespace)::IndexVectorizedKernel<at::native::(anonymous namespace)::GPUIndexKernel<c10::Half, 1, true, 3, false, (at::native::(anonymous namespace)::IndexKernelIOType)0>(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(unsigned int, unsigned int, unsigned int)#1}, at::native::(anonymous namespace)::GPUIndexKernel<c10::Half, 1, true, 3, false, (at::native::(anonymous namespace)::IndexKernelIOType)0>(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(unsigned int, unsigned int, unsigned int)#2}>(long, long, long, int, at::native::(anonymous namespace)::GPUIndexKernel<c10::Half, 1, true, 3, false, (at::native::(anonymous namespace)::IndexKernelIOType)0>(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(unsigned int, unsigned int, unsigned int)#1}, at::native::(anonymous namespace)::GPUIndexKernel<c10::Half, 1, true, 3, false, (at::native::(anonymous namespace)::IndexKernelIOType)0>(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(unsigned int, unsigned int, unsigned int)#2})	kernel	1	7.840	7.840	7.840
all	void at::native::(anonymous namespace)::IndexSelectVectorKernel<__half, long, true, 128>(__half*, long*, __half*, long, long, long, long, unsigned int)	kernel	2	7.761	3.880	3.881
all	create_flashinfer_kv_indices_triton	kernel	2	7.760	3.880	5.120
all	void at::native::(anonymous namespace)::IndexElementwiseKernel<at::native::(anonymous namespace)::GPUIndexKernel<int, 1, true, 2, true, (at::native::(anonymous namespace)::IndexKernelIOType)3>(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(unsigned int, unsigned int, unsigned int)#1}>(long, long, long, at::native::(anonymous namespace)::GPUIndexKernel<int, 1, true, 2, true, (at::native::(anonymous namespace)::IndexKernelIOType)3>(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(unsigned int, unsigned int, unsigned int)#1})	kernel	1	7.000	7.000	7.000
all	write_req_to_token_pool_triton	kernel	1	6.801	6.801	6.801
all	void musa::dnn::ScanPartSumShflKernel<long, long, long, musa::dnn::ScanOp<musa::dnn::DeviceTensor<unsigned int, musa::dnn::FastDivmodU32>, long, long, long, (musa::dnn::ScanMode)0, (musa::dnn::ScanOpType)0>, 1024, musa::dnn::DeviceTensor<unsigned int, musa::dnn::FastDivmodU32>, 1>(void*, void*, musa::dnn::DeviceTensor<unsigned int, musa::dnn::FastDivmodU32>, long, int, long)	kernel	1	6.040	6.040	6.040
all	void musa::dnn::unary::kernel_unary<long, musa::dnn::unary::AddOp, long, long, long, 128>(long*, long const*, unsigned long, long, long, void const*, void const*, musa::dnn::ParamType, musa::dnn::ParamType, float, float, float)	kernel	1	5.000	5.000	5.000
all	void musa::dnn::unary::kernel_unary<int, musa::dnn::unary::AddOp, int, int, int, 128>(int*, int const*, unsigned long, int, int, void const*, void const*, musa::dnn::ParamType, musa::dnn::ParamType, float, float, float)	kernel	1	4.880	4.880	4.880
all	compute_position_kernel	kernel	1	4.320	4.320	4.320
all	void musa::dnn::unary::kernel_unary<long, musa::dnn::unary::IdentityOp, long, long, long, 128>(long*, long const*, unsigned long, long, long, void const*, void const*, musa::dnn::ParamType, musa::dnn::ParamType, float, float, float)	kernel	1	4.160	4.160	4.160
all	triton_poi_fused_clamp_sub_0	kernel	1	1.920	1.920	1.920
all	musaDeviceCanAccessPeer	privateuse1_runtime	1	0.989	0.989	0.989
