index	stage	ts_us	relative_ts_us	dur_us	cat	name	pid	tid	external_id	correlation	ph
1897	decode	4352586497289.327	1718330.7529296875	7.76	kernel	void at::native::(anonymous namespace)::IndexVectorizedKernel<at::native::(anonymous namespace)::GPUIndexKernel<c10::Half, 1, true, 3, true, (at::native::(anonymous namespace)::IndexKernelIOType)0>(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(unsigned int, unsigned int, unsigned int)#1}, at::native::(anonymous namespace)::GPUIndexKernel<c10::Half, 1, true, 3, true, (at::native::(anonymous namespace)::IndexKernelIOType)0>(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(unsigned int, unsigned int, unsigned int)#2}>(long, long, long, int, at::native::(anonymous namespace)::GPUIndexKernel<c10::Half, 1, true, 3, true, (at::native::(anonymous namespace)::IndexKernelIOType)0>(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(unsigned int, unsigned int, unsigned int)#1}, at::native::(anonymous namespace)::GPUIndexKernel<c10::Half, 1, true, 3, true, (at::native::(anonymous namespace)::IndexKernelIOType)0>(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(unsigned int, unsigned int, unsigned int)#2})	0	0	7331	145600	X
1898	decode	4352586497299.287	1718340.712890625	6.32	kernel	void at::native::(anonymous namespace)::IndexVectorizedKernel<at::native::(anonymous namespace)::GPUIndexKernel<c10::Half, 1, true, 3, true, (at::native::(anonymous namespace)::IndexKernelIOType)0>(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(unsigned int, unsigned int, unsigned int)#1}, at::native::(anonymous namespace)::GPUIndexKernel<c10::Half, 1, true, 3, true, (at::native::(anonymous namespace)::IndexKernelIOType)0>(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(unsigned int, unsigned int, unsigned int)#2}>(long, long, long, int, at::native::(anonymous namespace)::GPUIndexKernel<c10::Half, 1, true, 3, true, (at::native::(anonymous namespace)::IndexKernelIOType)0>(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(unsigned int, unsigned int, unsigned int)#1}, at::native::(anonymous namespace)::GPUIndexKernel<c10::Half, 1, true, 3, true, (at::native::(anonymous namespace)::IndexKernelIOType)0>(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(unsigned int, unsigned int, unsigned int)#2})	0	0	7337	145609	X
1899	decode	4352586497457.227	1718498.6528320312	4.904	privateuse1_driver	muLaunchKernel	31003	31003		145626	X
1900	decode	4352586497501.734	1718543.1596679688	28.961	kernel	_fwd_grouped_kernel_stage1	0	0		145626	X
1901	decode	4352586497554.062	1718595.4877929688	6.266	privateuse1_driver	muLaunchKernel	31003	31003		145635	X
1902	decode	4352586497607.217	1718648.642578125	5.001	kernel	_fwd_kernel_stage2	0	0		145635	X
1903	decode	4352586497648.126	1718689.5517578125	6.12	privateuse1_runtime	musaLaunchKernel	31003	31003	7348	145650	X
1904	decode	4352586497693.42	1718734.845703125	36.121	kernel	void musa::dnn::(anonymous namespace)::batch_gemv_row_continuous_kernel<__half, (musa::dnn::AlignAttr)1, 128, 64, 1024, false, true, 128>(__half*, __half const*, __half const*, __half const*, __half const*, int, int, int, int, long, int, long, int, long, int, long, float, float, float)	0	0	7348	145650	X
1905	decode	4352586497700.476	1718741.9018554688	4.212	privateuse1_runtime	musaLaunchKernel	31003	31003	7357	145656	X
1906	decode	4352586497731.982	1718773.4077148438	9.08	kernel	void LayerNormGlobalKernelVlen<__half, float, 1024, 1, 8>(__half*, __half*, __half const*, unsigned long, unsigned long, float)	0	0	7357	145656	X
1907	decode	4352586497769.525	1718810.9506835938	5.057	privateuse1_runtime	musaLaunchKernel	31003	31003	7363	145673	X
1908	decode	4352586497821.425	1718862.8505859375	146.404	kernel	void musa::dnn::(anonymous namespace)::batch_gemv_row_continuous_kernel<__half, (musa::dnn::AlignAttr)1, 128, 64, 1024, false, true, 128>(__half*, __half const*, __half const*, __half const*, __half const*, int, int, int, int, long, int, long, int, long, int, long, float, float, float)	0	0	7363	145673	X
1909	decode	4352586497836.736	1718878.1616210938	4.785	privateuse1_runtime	musaLaunchKernel	31003	31003	7373	145691	X
1910	decode	4352586497910.439	1718951.8647460938	4.689	privateuse1_runtime	musaLaunchKernel	31003	31003	7380	145709	X
1911	decode	4352586497969.235	1719010.6606445312	3.39	privateuse1_runtime	musaLaunchKernel	31003	31003	7389	145715	X
1912	decode	4352586497970.99	1719012.416015625	7.84	kernel	void musa::dnn::(anonymous namespace)::KernelSwiGlu<__half, musa::dnn::FastDivmodU32>(__half*, __half const*, long, long, musa::dnn::FastDivmodU32)	0	0	7373	145691	X
1913	decode	4352586497980.59	1719022.015625	98.923	kernel	void musa::dnn::(anonymous namespace)::batch_gemv_row_continuous_kernel<__half, (musa::dnn::AlignAttr)1, 256, 32, 1024, false, true, 128>(__half*, __half const*, __half const*, __half const*, __half const*, int, int, int, int, long, int, long, int, long, int, long, float, float, float)	0	0	7380	145709	X
1914	decode	4352586498035.216	1719076.6416015625	5.4	privateuse1_runtime	musaLaunchKernel	31003	31003	7395	145732	X
1915	decode	4352586498082.233	1719123.6586914062	9.121	kernel	void LayerNormGlobalKernelVlen<__half, float, 1024, 1, 8>(__half*, __half*, __half const*, unsigned long, unsigned long, float)	0	0	7389	145715	X
1916	decode	4352586498093.074	1719134.5	41.161	kernel	void musa::dnn::(anonymous namespace)::batch_gemv_row_continuous_kernel<__half, (musa::dnn::AlignAttr)1, 128, 64, 1024, false, true, 128>(__half*, __half const*, __half const*, __half const*, __half const*, int, int, int, int, long, int, long, int, long, int, long, float, float, float)	0	0	7395	145732	X
1917	decode	4352586498130.022	1719171.4477539062	4.923	privateuse1_runtime	musaLaunchKernel	31003	31003	7411	145760	X
1918	decode	4352586498151.236	1719192.6616210938	8.84	kernel	void musa::dnn::LayerNormGlobalKernelVlen<__half, float, __half, float, 64, 1, 8, (musa::dnn::NormType)1, false>(__half*, float*, float*, __half const*, __half const*, __half const*, unsigned long, unsigned long, float, float)	0	0	7411	145760	X
1919	decode	4352586498190.32	1719231.7456054688	3.961	privateuse1_runtime	musaLaunchKernel	31003	31003	7418	145788	X
1920	decode	4352586498237.158	1719278.583984375	5.841	kernel	void musa::dnn::LayerNormGlobalKernelVlen<__half, float, __half, float, 64, 1, 8, (musa::dnn::NormType)1, false>(__half*, float*, float*, __half const*, __half const*, __half const*, unsigned long, unsigned long, float, float)	0	0	7418	145788	X
