type	domain	name	calls	total_us	avg_us	max_us
kernel	concurrent_kernel	_ZN4musa3dnn12_GLOBAL__N_124KernelConcatLastSmallDimIlLi2ELi2ELb0ENS0_13FastDivmodU32ELi128EEEvPT_NS1_10ArrayInputIS4_EENS0_5ArrayIT3_XT0_EEEllliiii	1	10.121	10.121	10.121
kernel	concurrent_kernel	compute_position_kernel	2	6.801	3.401	3.720
kernel	concurrent_kernel	_ZN4musa3dnn12_GLOBAL__N_110KernelFillIlLb0ELb0ELb0ELNS1_13BroadcastModeE0ENS0_12DeviceTensorIjNS0_13FastDivmodU32EEELi128EEEvPvT4_T_l	2	6.520	3.260	3.560
kernel	concurrent_kernel	_ZN2at6native12_GLOBAL__N_113arange_kernelIfEEvPT_S3_S3_i	3	6.240	2.080	2.440
kernel	concurrent_kernel	_ZN4musa3dnn5unary12kernel_unaryIfNS1_5PowOpEffdLi128EEEvPT2_PKT_mT1_S9_PKvSB_NS0_9ParamTypeESC_fff	1	5.600	5.600	5.600
kernel	concurrent_kernel	_ZN4musa3dnn5unary12kernel_unaryIlNS1_6CastOpElflLi128EEEvPT2_PKT_mT1_S9_PKvSB_NS0_9ParamTypeESC_fff	1	5.441	5.441	5.441
api	driver	muFuncGetAttribute	26	5.121	0.197	0.611
api	driver	muDeviceGet	14	3.783	0.270	0.614
kernel	concurrent_kernel	_ZN4musa3dnn5unary12kernel_unaryIfNS1_9TrueDivOpEfffLi128EEEvPT2_PKT_mT1_S9_PKvSB_NS0_9ParamTypeESC_fff	1	3.640	3.640	3.640
kernel	concurrent_kernel	_ZN4musa3dnn5unary12kernel_unaryIfNS1_10IdentityOpEfffLi128EEEvPT2_PKT_mT1_S9_PKvSB_NS0_9ParamTypeESC_fff	1	3.440	3.440	3.440
kernel	concurrent_kernel	_ZN4musa3dnn12_GLOBAL__N_110KernelFillIfLb0ELb0ELb0ELNS1_13BroadcastModeE0ENS0_12DeviceTensorIjNS0_13FastDivmodU32EEELi128EEEvPvT4_T_l	1	2.200	2.200	2.200
api	driver	muGetExportTable	2	2.157	1.079	1.979
api	driver	muInit	1	0.313	0.313	0.313
